Date,BuzzFeedVideo,Fernanfloo,JuegaGerman,PewDiePie,RomanAtwoodVlogs,YouTube Spotlight,elrubiusOMG,whinderssonnunes
4/1/2015,5212543,3150803,6829830,35530088,1997883,22788125,10652728,1850830
5/1/2015,5564964,3552145,7095689,36168693,2208703,22817557,11093270,2134444
6/1/2015,5980789,4064228,7501880,36768508,2474380,22921486,11544209,2414467
7/1/2015,6433293,4562853,7875105,37432374,2772510,22977633,12077923,2652755
8/1/2015,6854792,5174957,8324758,38235047,3147962,23007799,12630419,2923322
9/1/2015,7244134,5780394,8741743,38836029,3518431,23023658,13202238,3221486
10/1/2015,7549840,6272143,9113020,39438173,3808116,23005167,13708632,3520439
11/1/2015,7892271,6839842,9527916,39990232,4175834,23022148,14223018,3996978
12/1/2015,8200182,7352601,9877478,40477991,4566356,23060225,14649066,4496384
1/1/2016,8505410,8120373,10347599,41131656,4979480,23874269,15303928,5213171
2/1/2016,8804629,8886425,10974976,41740632,5443234,23990012,16020892,5818898
3/1/2016,9019991,9496436,11411524,42370268,5809234,24012794,16588378,6376961
4/1/2016,9245997,10235955,11873376,42912756,6075796,24022609,17133047,7089482
5/1/2016,9512496,11275415,12562962,43501267,6304820,24028771,17674786,7678560
6/1/2016,9774104,12183400,13012180,44617297,6669809,24045296,18281487,8473417
7/1/2016,9993045,13112703,13499723,45576949,7199966,24180147,18738425,9269609
8/1/2016,10169653,14058392,14010376,46762751,8190583,24174888,19502435,10283740
9/1/2016,10396735,14934335,14501977,47446800,8776843,24154150,20256133,11202309
10/1/2016,10679398,15639780,15060646,47984010,9191460,24142072,20739793,12162274
11/1/2016,11034522,16487457,15510916,48831019,9703820,24127636,21249187,13294727
12/1/2016,11194750,17195372,15940919,49199545,10304008,24126657,21724002,14071271
1/1/2017,11394853,18126628,16695731,51617009,10797587,25482679,22268456,15257089
2/1/2017,11607040,19025014,17201395,52712443,11228317,25540911,22760047,16279255
3/1/2017,11708934,19772603,17675671,53765451,11596527,25529760,23250994,17131020
4/1/2017,11942034,20529915,18297299,54301946,11985670,25523920,23654843,18137289
5/1/2017,12220888,21070814,18952470,54707342,12210898,25509977,24041710,19116834
6/1/2017,12366859,21694536,19564999,55064461,12457525,25499037,24358999,19961685
7/1/2017,12516105,22243224,20113087,55798040,12765584,25599239,24666301,20745743
8/1/2017,12654522,22800130,20583405,56446495,13214456,25589354,25035289,21421967
9/1/2017,12808272,23378708,21203582,56985807,13525053,25581515,25396082,22446477
10/1/2017,13132750,23953914,21639956,57201026,13644351,25568112,25698292,23330954
11/1/2017,13462435,24399143,22047990,57543249,13723380,25584317,25999682,24037325
12/1/2017,13688621,24796830,22443976,57929718,13809909,25612492,26319674,24641799